top - 14:00:41 up 43 min,  1 user,  load average: 0.74, 0.68, 0.64
Tasks: 303 total,   2 running, 284 sleeping,   0 stopped,  17 zombie
%Cpu(s):  7.0 us,  2.3 sy,  0.0 ni, 89.9 id,  0.0 wa,  0.0 hi,  0.8 si,  0.0 st
MiB Mem :  15733.1 total,   8632.4 free,   2789.9 used,   4310.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  11764.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   9338 root      20   0 1838000  32396  20328 S   0.0   0.2   0:08.33 snapd
   6270 root      20   0       0      0      0 I   0.0   0.0   0:00.53 kworker+
   5172 shakti    20   0  156068   5296   4780 S   0.0   0.0   0:00.00 evinced
   5166 shakti    20   0 1053704 133188  60500 S   0.0   0.8   0:04.62 evince
   5076 shakti    20   0 1200684  80748  48460 S   0.0   0.5   0:04.72 nautilus
   4323 shakti    20   0   10748   5228   3692 S   0.0   0.0   0:00.03 bash
   4137 shakti    20   0  814136  50700  38360 S   0.0   0.3   0:00.77 gnome-t+
   3498 shakti    20   0 2421592  86332  74000 S   0.0   0.5   0:00.65 Web Con+
   2786 shakti    20   0  417516  30540  24288 S   0.0   0.2   0:00.22 update-+
   2783 shakti    20   0  162320   6412   5760 S   0.0   0.0   0:00.03 gvfsd-m+
   2704 shakti    20   0 2421592  84968  72596 S   0.0   0.5   0:00.72 Web Con+
   2621 shakti    20   0 2680352 260128 122648 S   0.0   1.6   1:57.91 Isolate+
   2617 shakti    20   0 3144828 428212 128256 S   0.0   2.7   1:50.35 Isolate+
   2603 shakti    20   0  248752  44820  36248 S   0.0   0.3   0:00.06 Utility+
   2530 shakti    20   0 2465784 107164  87984 S   0.0   0.7   0:01.07 WebExte+
   2472 shakti    20   0 2497752 158040 114300 S   0.0   1.0   0:06.62 Privile+
   2454 shakti    20   0  228064  45212  36820 S   0.0   0.3   0:00.06 Socket +
   2380 shakti    20   0 3832256 396496 220680 S   0.0   2.5   2:08.40 firefox
   2361 root      20   0  471480 105920  27960 S   0.0   0.7   0:02.69 fwupd
   2349 shakti    20   0  489980  24736  18644 S   0.0   0.2   0:00.37 xdg-des+
   2345 shakti    20   0  536440  10532   9088 S   0.0   0.1   0:00.26 xdg-des+
   2271 shakti    39  19  585264  25004  16680 S   0.0   0.2   0:00.21 tracker+
   2197 shakti    20   0  457436   6268   5652 S   0.0   0.0   0:00.12 xdg-doc+
   2188 shakti    20   0  162708   7024   6400 S   0.0   0.0   0:00.04 ibus-en+
   2187 shakti    20   0  342192  15108  13192 S   0.0   0.1   0:00.01 gsd-pri+
   2169 shakti    20   0 1200452 193528  50948 S   0.0   1.2   0:06.15 snap-st+
   2136 shakti    20   0  231812   5916   4672 S   0.0   0.0   0:00.01 gsd-dis+
   2125 shakti    20   0  644108  57376  42984 S   0.0   0.4   0:00.26 evoluti+
   2111 shakti    20   0  342100  25328  18860 S   0.0   0.2   0:00.18 gsd-xse+
   2106 shakti    20   0  314100   8120   7228 S   0.0   0.1   0:00.00 gsd-wwan
   2104 shakti    20   0  340960  24192  17764 S   0.0   0.2   0:00.15 gsd-wac+
   2102 shakti    20   0  458700   7312   6536 S   0.0   0.0   0:00.00 gsd-usb+
   2100 shakti    20   0  319364   9060   8056 S   0.0   0.1   0:00.00 gsd-sou+
   2098 shakti    20   0  315456   8292   7464 S   0.0   0.1   0:00.00 gsd-sma+
   2096 shakti    20   0  464788  10604   8772 S   0.0   0.1   0:00.29 gsd-sha+
   2094 shakti    20   0  235520   5864   5332 S   0.0   0.0   0:00.00 gsd-scr+
   2093 shakti    20   0  457112   6064   5432 S   0.0   0.0   0:00.02 gsd-rfk+
   2086 shakti    20   0  248224  11172   9760 S   0.0   0.1   0:00.01 gsd-pri+
   2085 shakti    20   0  608756  27596  20472 S   0.0   0.2   0:00.26 gsd-pow+
